Workload Concurrency BlockSize MyRAMBenchValue TheoreticalValue MyRAMBenchEfficiency
RWS 1 1000000 3.876088 17.000000 0.228005
RWS 1 10000000 2.968031 17.000000 0.174590
RWS 1 1000 3.628540 17.000000 0.213444
RWS 2 1000000 6.872976 17.000000 0.404293
RWS 2 10000000 5.407683 17.000000 0.318099
RWS 2 1000 6.571116 17.000000 0.386536
RWS 4 1000000 6.739439 17.000000 0.396438
RWS 4 10000000 5.243572 68.256000 0.076822
RWS 4 1000 6.463568 17.000000 0.380210
RWR 1 10000000 3.766534 17.000000 0.221561
RWR 1 10000000 4.292492 17.000000 0.252500
RWR 1 1000000 3.101437 17.000000 0.182437
RWR 2 10000000 7.721459 17.000000 0.454203
RWR 2 10000000 7.417285 17.000000 0.436311
RWR 2 1000000 5.571489 17.000000 0.327735
RWR 4 10000000 7.664487 17.000000 0.450852
RWR 1 1000000 2.892739 17.000000 0.170161
RWR 4 10000000 7.599034 17.000000 0.447002
RWR 4 1000000 5.713824 17.000000 0.336107
RWR 2 1000000 5.896757 17.000000 0.346868
RWR 4 1000000 5.923526 17.000000 0.348443
RWR 1 1000 2.052113 17.000000 0.120713
RWR 1 1000 2.020737 17.000000 0.118867
RWR 1 1000 2.024118 17.000000 0.119066
RWR 2 1000 2.253280 17.000000 0.132546
RWR 2 1000 2.150769 17.000000 0.126516
RWR 1 1000 1.766045 17.000000 0.103885
RWR 4 1000 2.549801 17.000000 0.149988
RWR 2 1000 2.074006 17.000000 0.122000
RWR 4 1000 1.965550 17.000000 0.115621
RWR 2 1000 1.776389 17.000000 0.104493
RWR 4 1000 2.389760 17.000000 0.140574
RWS 1 1 0.004578 0.015000 0.305177
RWS 2 1 0.002637 0.015000 0.175783
RWR 4 1000 1.932084 17.000000 0.113652
RWS 4 1 0.003765 0.015000 0.250993
RWR 1 1 0.044067 0.015000 2.937825
RWR 2 1 0.144257 0.015000 9.617129
RWR 4 1 0.263541 0.015000 17.569375
RWR 1 10000000 3.792540 68.256000 0.055563
RWR 2 10000000 7.112842 68.256000 0.104208
RWR 4 10000000 6.860771 68.256000 0.100515

